id,"date",kitchen_id,product_id,max_capacity,optimum_capacity,min_capacity,"created_at","updated_at",edited
1,"2017-07-14",138,1,105,100,50,"2017-07-13 16:11:21","2017-07-13 17:01:31",1
3,"2017-07-14",104,1,85,80,70,"2017-07-13 16:11:59","2017-07-13 17:04:50",1
4,"2017-07-14",156,1,55,50,30,"2017-07-13 16:12:22","2017-07-13 17:05:00",1
5,"2017-07-14",155,1,55,50,20,"2017-07-13 16:12:46","2017-07-13 17:05:11",1
6,"2017-07-14",157,5,45,40,30,"2017-07-13 16:13:18","2017-07-13 16:13:18",1
7,"2017-07-14",161,5,105,60,50,"2017-07-13 16:13:40","2017-07-13 16:59:35",1
8,"2017-07-14",144,1,75,70,50,"2017-07-13 16:50:49","2017-07-13 17:02:21",1
9,"2017-07-17",138,1,184,175,60,"2017-07-14 15:31:46","2017-07-16 17:07:03",1
10,"2017-07-17",104,1,105,100,60,"2017-07-14 15:31:59","2017-07-16 17:02:51",1
11,"2017-07-17",144,1,105,100,60,"2017-07-14 15:32:32","2017-07-16 16:30:23",1
12,"2017-07-17",155,1,63,60,30,"2017-07-14 15:33:28","2017-07-16 17:05:15",1
13,"2017-07-17",156,1,75,70,50,"2017-07-14 15:33:48","2017-07-16 17:04:24",1
15,"2017-07-17",161,5,75,70,50,"2017-07-14 15:35:06","2017-07-16 16:52:25",1
16,"2017-07-17",157,5,45,40,20,"2017-07-14 15:36:27","2017-07-16 17:26:35",1
17,"2017-07-18",104,1,126,120,10,"2017-07-14 15:37:09","2017-08-04 13:45:47",1
18,"2017-07-18",144,1,80,76,10,"2017-07-14 15:37:31","2017-07-18 14:36:03",1
19,"2017-07-18",138,1,210,200,10,"2017-07-14 15:37:50","2017-07-18 12:54:33",1
20,"2017-07-18",156,1,53,50,10,"2017-07-14 15:38:17","2017-07-18 15:04:57",1
21,"2017-07-18",155,1,63,60,10,"2017-07-14 15:38:41","2017-07-18 14:38:44",1
22,"2017-07-18",161,5,75,70,50,"2017-07-14 15:39:01","2017-07-17 10:53:04",1
23,"2017-07-18",157,5,45,40,20,"2017-07-14 15:39:19","2017-07-17 10:52:55",1
24,"2017-07-19",104,1,126,120,10,"2017-07-14 15:39:39","2017-07-18 15:07:40",1
25,"2017-07-19",144,1,80,76,10,"2017-07-14 15:40:02","2017-07-18 15:08:03",1
26,"2017-07-19",138,1,210,200,10,"2017-07-14 15:40:26","2017-07-18 15:07:52",1
27,"2017-07-19",156,1,53,50,10,"2017-07-14 15:40:47","2017-07-18 15:08:12",1
28,"2017-07-19",155,1,63,60,10,"2017-07-14 15:41:05","2017-07-18 15:08:22",1
29,"2017-07-19",161,5,74,70,10,"2017-07-14 15:41:22","2017-07-18 09:20:34",1
30,"2017-07-19",157,5,42,40,20,"2017-07-14 15:41:41","2017-07-18 09:20:44",1
31,"2017-07-20",138,1,184,175,10,"2017-07-14 15:42:01","2017-07-18 15:12:46",1
32,"2017-07-20",104,1,105,100,10,"2017-07-14 15:42:21","2017-07-18 15:11:27",1
33,"2017-07-20",144,1,13,70,10,"2017-07-14 15:42:56","2017-07-19 13:39:13",1
34,"2017-07-20",156,1,65,60,20,"2017-07-14 15:43:13","2017-07-19 13:36:59",1
35,"2017-07-20",155,1,45,40,20,"2017-07-14 15:43:32","2017-07-19 13:37:05",1
36,"2017-07-20",161,5,65,60,50,"2017-07-14 15:43:51","2017-07-14 15:43:51",1
37,"2017-07-20",157,5,45,40,30,"2017-07-14 15:44:08","2017-07-14 15:44:08",1
38,"2017-07-21",138,1,184,175,10,"2017-07-14 15:44:47","2017-07-19 16:24:11",1
39,"2017-07-21",104,1,105,100,10,"2017-07-14 15:45:04","2017-07-19 16:24:56",1
40,"2017-07-21",144,1,74,70,10,"2017-07-14 15:45:22","2017-07-19 16:25:03",1
41,"2017-07-21",156,1,65,60,20,"2017-07-14 15:45:40","2017-07-19 16:25:12",1
42,"2017-07-21",155,1,53,50,30,"2017-07-14 15:46:03","2017-07-19 16:25:32",1
43,"2017-07-21",161,5,65,60,10,"2017-07-14 15:46:24","2017-07-19 16:25:49",1
44,"2017-07-21",157,5,42,40,20,"2017-07-14 15:46:39","2017-07-19 16:26:19",1
45,"2017-07-22",144,1,105,100,60,"2017-07-16 23:59:02","2017-07-16 23:59:02",0
46,"2017-07-23",144,1,105,100,60,"2017-07-16 23:59:02","2017-07-16 23:59:02",0
47,"2017-07-22",104,1,105,100,60,"2017-07-16 23:59:02","2017-07-16 23:59:02",0
48,"2017-07-23",104,1,105,100,60,"2017-07-16 23:59:02","2017-07-16 23:59:02",0
49,"2017-07-22",138,1,105,100,60,"2017-07-16 23:59:02","2017-07-16 23:59:02",0
50,"2017-07-23",138,1,105,100,60,"2017-07-16 23:59:02","2017-07-16 23:59:02",0
51,"2017-07-22",156,1,63,60,50,"2017-07-16 23:59:02","2017-07-16 23:59:02",0
52,"2017-07-23",156,1,63,60,50,"2017-07-16 23:59:02","2017-07-16 23:59:02",0
53,"2017-07-22",155,1,47,45,20,"2017-07-16 23:59:02","2017-07-16 23:59:02",0
54,"2017-07-23",155,1,47,45,20,"2017-07-16 23:59:02","2017-07-16 23:59:02",0
55,"2017-07-22",157,5,47,45,20,"2017-07-16 23:59:02","2017-07-16 23:59:02",0
56,"2017-07-23",157,5,47,45,20,"2017-07-16 23:59:02","2017-07-16 23:59:02",0
57,"2017-07-22",161,5,68,65,50,"2017-07-16 23:59:02","2017-07-16 23:59:02",0
58,"2017-07-23",161,5,68,65,50,"2017-07-16 23:59:02","2017-07-16 23:59:02",0
59,"2017-07-24",144,1,75,70,50,"2017-07-17 23:59:01","2017-07-21 10:27:49",1
60,"2017-07-24",104,1,105,100,60,"2017-07-17 23:59:01","2017-07-17 23:59:01",0
61,"2017-07-24",138,1,105,100,60,"2017-07-17 23:59:01","2017-07-17 23:59:01",0
63,"2017-07-24",155,1,47,45,20,"2017-07-17 23:59:01","2017-07-17 23:59:01",0
64,"2017-07-24",157,5,105,100,20,"2017-07-17 23:59:01","2017-07-21 10:28:37",1
66,"2017-07-25",144,1,75,70,50,"2017-07-18 23:59:01","2017-07-21 10:20:52",1
67,"2017-07-25",104,1,53,50,30,"2017-07-18 23:59:01","2017-07-24 09:42:28",1
68,"2017-07-25",138,1,53,50,30,"2017-07-18 23:59:01","2017-07-24 09:42:18",1
70,"2017-07-25",155,1,47,45,20,"2017-07-18 23:59:01","2017-07-18 23:59:01",0
71,"2017-07-25",157,5,63,100,10,"2017-07-18 23:59:01","2017-07-21 10:24:24",1
73,"2017-07-26",144,1,75,70,50,"2017-07-19 23:59:01","2017-07-21 10:29:26",1
74,"2017-07-26",104,1,53,50,30,"2017-07-19 23:59:01","2017-07-24 09:59:12",1
75,"2017-07-26",138,1,74,70,30,"2017-07-19 23:59:01","2017-07-25 13:41:09",1
76,"2017-07-26",156,1,53,50,30,"2017-07-19 23:59:01","2017-07-25 13:20:53",1
77,"2017-07-26",155,1,47,45,20,"2017-07-19 23:59:01","2017-07-19 23:59:01",0
78,"2017-07-26",157,5,105,100,20,"2017-07-19 23:59:01","2017-07-21 10:37:43",1
80,"2017-07-27",144,1,73,70,50,"2017-07-20 23:59:01","2017-07-26 13:59:15",1
81,"2017-07-27",104,1,53,50,30,"2017-07-20 23:59:01","2017-07-24 09:59:33",1
82,"2017-07-27",138,1,73,70,30,"2017-07-20 23:59:01","2017-07-25 14:26:05",1
83,"2017-07-27",156,1,53,50,30,"2017-07-20 23:59:01","2017-07-26 12:56:28",1
84,"2017-07-27",155,1,47,45,10,"2017-07-20 23:59:01","2017-07-26 16:29:57",1
85,"2017-07-27",157,5,105,100,20,"2017-07-20 23:59:01","2017-07-21 10:41:58",1
